date,maxtp,mintp,igmin,gmin,rain,cbl,wdsp,hm,ddhm,sun,smd_wd,smd_md,smd_pd
1945-09-01,19.2,14.4,0.0,13.6,0.2,1013.8,12.0,20,90,1.6,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-02,20.7,14.8,0.0,13.4,0.0,1018.2,7.3,12,100,9.3,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-03,23.3,11.8,0.0,9.6,0.0,1021.2,4.2,8,100,11.4,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-04,21.6,9.4,0.0,6.7,0.0,1024.2,6.2,13,310,5.3,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-05,21.3,12.2,0.0,11.3,0.0,1024.9,4.9,9,100,3.6,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-06,20.5,12.8,0.0,10.3,0.0,1025.2,6.0,11,180,3.3,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-07,19.4,8.2,0.0,8.9,0.0,1023.2,6.9,10,100,10.4,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-08,19.9,5.7,0.0,3.3,0.1,1019.8,5.1,9,100,5.2,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-09,19.2,11.0,0.0,10.1,4.2,1013.5,13.8,24,150,1.0,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-10,21.2,15.1,0.0,14.3,4.5,1007.9,12.7,23,150,5.6,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-11,21.3,14.1,0.0,13.4,0.4,1014.0,12.9,24,200,1.7,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-12,19.1,12.9,0.0,13.3,3.7,1010.3,17.2,36,240,2.2,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-13,15.8,11.4,0.0,10.0,7.8,1005.1,14.8,24,250,2.8,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-14,17.7,11.7,0.0,10.6,0.6,1004.8,12.3,20,270,4.2,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-15,17.3,12.3,0.0,11.3,11.1,1005.4,12.5,19,240,0.0,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-16,19.8,16.7,0.0,12.7,4.7,1003.7,14.5,21,220,0.1,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-17,19.3,13.6,0.0,12.3,0.5,1005.3,5.8,17,190,1.5,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-18,20.7,12.9,0.0,11.7,0.9,1002.2,6.0,16,280,6.1,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-19,15.2,10.8,0.0,10.3,4.1,1005.0,8.9,14,270,0.0,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-20,15.2,9.4,0.0,6.7,1.5,1009.5,13.7,28,240,4.4,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-21,17.1,9.3,0.0,8.0,5.4,1003.5,19.1,45,250,3.1,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-22,14.6,8.9,0.0,7.1,7.7,1005.2,17.6,32,190,5.5,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-23,15.8,9.4,0.0,7.7,4.0,1015.3,19.4,30,300,8.2,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-24,16.6,8.9,0.0,6.1,0.0,1023.8,11.1,21,300,7.6,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-25,15.7,5.4,0.0,0.9,0.0,1028.7,4.2,12,310,0.5,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-26,17.2,12.8,0.0,12.4,0.1,1028.6,9.7,18,130,1.3,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-27,17.6,13.4,0.0,10.4,0.1,1026.6,14.1,21,280,1.5,12.407408759124088,11.154683698296838,7.519124087591241
1945-09-28,17.4,11.4,0.0,12.8,0.2,1025.8,10.2,17,290,0.4,12.407408759124088,11.154683698296838,7.519124087591241
